Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2020-02-28T15:52:26Z,FALSE,Bruz Running,12.01,983,01:03:42,156,171,4.3,163,218,05:18:00,4:46,46,36,1.15,0,0,0,0,0,00:00:00,19,00:00:00,No,00:01:00,13,0
Running,2020-02-26T10:14:04Z,FALSE,Bruz Running,12.19,1004,01:04:40,157,173,4.5,164,176,05:18:00,4:17,79,64,1.15,0,0,0,0,0,00:00:00,14,00:00:00,No,00:55:00,13,0
Running,2020-02-24T17:09:36Z,FALSE,Bruz Running,8.46,680,00:47:04,149,166,3.4,160,169,05:34:00,4:41,44,26,1.13,0,0,0,0,0,00:00:00,17,00:00:00,No,02:14:00,9,0
Running,2020-02-23T15:31:21Z,FALSE,Bruz Running,8.21,746,00:52:46,150,161,3.4,151,188,06:26:00,4:10,30,34,1.03,0,0,0,0,0,00:00:00,26,00:00:00,No,01:11:00,9,0
Running,2020-02-21T07:17:58Z,FALSE,Aubervilliers Running,11,889,01:00:54,153,175,3.7,160,173,05:32:00,4:20,46,36,1.13,0,0,0,0,0,00:00:00,16,00:00:00,No,00:02:00,12,0
Running,2020-02-19T15:23:30Z,FALSE,Bruz Running,12.01,994,01:01:19,165,179,5.0,163,169,05:06:00,4:38,45,31,1.2,0,0,0,0,0,00:00:00,19,00:00:00,No,01:09:00,13,0
Running,2020-02-17T15:50:49Z,FALSE,Bruz Running,6,484,00:32:14,154,163,3.4,162,171,05:22:00,4:47,40,23,1.15,0,0,0,0,0,00:00:00,17,00:00:00,No,00:01:00,7,0
Running,2020-02-16T14:56:48Z,FALSE,Bruz Running,15,1234,01:21:13,159,174,4.8,162,188,05:25:00,4:43,95,96,1.14,0,0,0,0,0,00:00:00,22,00:00:00,No,00:00:00,16,0
Running,2020-02-14T14:57:11Z,FALSE,Bruz Running,6.38,537,00:37:35,151,162,3.3,158,171,05:54:00,4:40,31,18,1.07,0,0,0,0,0,00:00:00,20,00:00:00,No,02:07:00,7,0
Running,2020-02-13T15:02:28Z,FALSE,Bruz Running,10.01,820,00:54:53,157,170,4.1,162,171,05:29:00,4:47,43,39,1.13,0,0,0,0,0,00:00:00,18,00:00:00,No,00:01:00,11,0
