Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2020-02-28T15:52:26Z,FALSE,Bruz Running,12.01,983,01:03:42,156,171,4.3,163,218,5:18,4:46,46,36,1.15,0,0,0,0,0,--,--,--,00:00:00,00:00:00,19,00:00:00,No,00:01:00,13,0
Cycling,2020-02-27T17:57:32Z,FALSE,Bruz Cycling,20.06,642,00:55:30,132,154,2.4,--,--,21.7,29.7,55,51,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,14,00:00:00,No,00:27:00,5,0
Running,2020-02-26T10:14:04Z,FALSE,Bruz Running,12.19,1004,01:04:40,157,173,4.5,164,176,5:18,4:17,79,64,1.15,0,0,0,0,0,--,--,--,00:00:00,00:00:00,14,00:00:00,No,00:55:00,13,0
Running,2020-02-24T17:09:36Z,FALSE,Bruz Running,8.46,680,00:47:04,149,166,3.4,160,169,5:34,4:41,44,26,1.13,0,0,0,0,0,--,--,--,00:00:00,00:00:00,17,00:00:00,No,02:14:00,9,0
Running,2020-02-23T15:31:21Z,FALSE,Bruz Running,8.21,746,00:52:46,150,161,3.4,151,188,6:26,4:10,30,34,1.03,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,01:11:00,9,0
Running,2020-02-21T07:17:58Z,FALSE,Aubervilliers Running,11.00,889,01:00:54,153,175,3.7,160,173,5:32,4:20,46,36,1.13,0,0,0,0,0,--,--,--,00:00:00,00:00:00,16,00:00:00,No,00:02:00,12,0
Running,2020-02-19T15:23:30Z,FALSE,Bruz Running,12.01,994,01:01:19,165,179,5.0,163,169,5:06,4:38,45,31,1.2,0,0,0,0,0,--,--,--,00:00:00,00:00:00,19,00:00:00,No,01:09:00,13,0
Running,2020-02-17T15:50:49Z,FALSE,Bruz Running,6.00,484,00:32:14,154,163,3.4,162,171,5:22,4:47,40,23,1.15,0,0,0,0,0,--,--,--,00:00:00,00:00:00,17,00:00:00,No,00:01:00,7,0
Running,2020-02-16T14:56:48Z,FALSE,Bruz Running,15.00,1234,01:21:13,159,174,4.8,162,188,5:25,4:43,95,96,1.14,0,0,0,0,0,--,--,--,00:00:00,00:00:00,22,00:00:00,No,00:00:00,16,0
Running,2020-02-14T14:57:11Z,FALSE,Bruz Running,6.38,537,00:37:35,151,162,3.3,158,171,5:54,4:40,31,18,1.07,0,0,0,0,0,--,--,--,00:00:00,00:00:00,20,00:00:00,No,02:07:00,7,0
Running,2020-02-13T15:02:28Z,FALSE,Bruz Running,10.01,820,00:54:53,157,170,4.1,162,171,5:29,4:47,43,39,1.13,0,0,0,0,0,--,--,--,00:00:00,00:00:00,18,00:00:00,No,00:01:00,11,0
Running,2020-02-09T11:23:35Z,FALSE,Bruz Running,10.00,835,00:53:12,162,182,4.5,164,171,5:19,4:38,58,41,1.15,0,0,0,0,0,--,--,--,00:00:00,00:00:00,17,00:00:00,No,00:00:00,11,0
Cycling,2020-02-08T14:43:21Z,FALSE,Bruz Cycling,41.01,1197,02:01:38,134,156,2.5,--,--,20.2,32.6,152,127,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,17,00:00:00,No,02:59:00,9,0
Running,2020-02-07T11:43:27Z,FALSE,Bruz Running,6.01,497,00:29:26,171,186,4.1,164,173,4:54,4:19,32,20,1.24,0,0,0,0,0,--,--,--,00:00:00,00:00:00,13,00:00:00,No,00:02:00,7,0
Running,2020-02-06T14:21:14Z,FALSE,Bruz Running,8.02,672,00:42:13,163,179,4.2,163,169,5:16,4:47,46,33,1.17,0,0,0,0,0,--,--,--,00:00:00,00:00:00,15,00:00:00,No,00:04:00,9,0
Running,2020-02-05T15:17:20Z,FALSE,Bruz Running,8.02,636,00:42:09,157,168,3.7,162,169,5:16,4:02,43,27,1.18,0,0,0,0,0,--,--,--,00:00:00,00:00:00,16,00:00:00,No,00:04:00,9,0
Running,2020-02-02T09:10:52Z,FALSE,San Francisco Running,12.08,1037,01:21:15,148,178,3.1,146,229,6:44,4:43,328,222,1.02,0,0,0,0,0,--,--,--,00:00:00,00:00:00,19,00:00:00,No,00:30:00,13,0
Running,2020-02-01T10:08:56Z,FALSE,San Francisco Running,14.01,1139,01:18:30,157,180,4.2,156,196,5:36,4:25,143,122,1.14,0,0,0,0,0,--,--,--,00:00:00,00:00:00,23,00:00:00,No,00:03:00,15,0
Running,2020-01-30T07:03:14Z,FALSE,San Francisco Running,10.04,805,01:00:20,149,172,3.4,133,208,6:01,1:20,42,54,1.27,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:27:00,11,0
